name,generic_name,category,unit,description,side_effect,source_url
Abciximab (ReoPro),abciximab,"Antineoplastics CDK Inhibitors, Glycoprotein IIb/IIIa Inhibitors,","The recommended dosage of Abciximab in adults is a 0.25 mg/kg intravenous bolus administered 10-60 minutes before the start of PCI, followed by a continuous intravenous infusion of 0.125 µg/kg/min (to","ReoPro (abciximab) is a blood thinner used to prevent blood clots during procedures used to open up the blood vessels in the heart (e.g., balloon angioplasty, coronary stent placement, percutaneous coronary intervention-PCI). ReoPro is usually used with heparin and aspirin.","Common side effects of ReoPro include: nausea, vomiting, injection site reactions (bleeding, irritation, or pain), back pain, changes in vision, heartburn, stomach upset, abdominal pain, low blood pressure, slow heart rate, chest pain, headache, swelling of the extremities, or mood changes.",https://www.rxlist.com/reopro-drug.htm
Abecma (Idecabtagene Vicleucel Suspension),idecabtagene vicleucel suspension,"CAR-T Cell Therapies, CAR T-Cell Immunotherapy",Dosing of Abecma is based on the number of chimeric antigen receptor (CAR)-positive T cells. The recommended dose range of Abecma is 300 to 460×106 CAR-positive T cells.,"Abecma (idecabtagene vicleucel) is a B-cell maturation antigen (BCMA)-directed genetically modified autologous T cell immunotherapy used to treat adult patients with relapsed or refractory multiple myeloma after four or more prior lines of therapy, including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 monoclonal antibody.","Side effects of Abecma include: cytokine release syndrome (CRS), infections, fatigue, musculoskeletal pain, hypogammaglobulinemia, diarrhea, upper respiratory tract infection, nausea, viral infections, encephalopathy, fluid retention (edema), fever, cough, headache, decreased appetite, low white blood cells (neutropenia, leukopenia, lymphopenia), low platelets (thrombocytopenia), and anemia Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors. This document does not contain all possible side effects and others may occur. Check with your physician for additional information about side effects.",https://www.rxlist.com/abecma-drug.htm
Abelcet (Amphotericin B Injection),amphotericin b injection,"Antifungals, Systemic",The recommended dosage of Abelcet is 5 mg/kg.,Abelcet (amphotericin B lipid complex) Injection is an antifungal antibiotic used to treat a variety of serious fungal infections. Abelcet is available in generic form.,"Side effects of Abelcet include: chills, fever, shaking, flushing, loss of appetite, dizziness, nausea, vomiting, headache, shortness of breath, or fast breathing 1 to 2 hours after the infusion is started",https://www.rxlist.com/abelcet-drug.htm
Abemaciclib Tablets (Verzenio),abemaciclib tablets,Antineoplastics CDK Inhibitors,The recommended starting dose of Verzenio in combination with fulvestrant is 150 mg twice daily. The recommended starting dose of Verzenio as monotherapy is 200 mg twice daily.,"Verzenio (abemaciclib) is a kinase inhibitor indicated in combination with fulvestrant for the treatment of women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer with disease progression following endocrine therapy; and as monotherapy for the treatment of adult patients with HR-positive, HER2-negative advanced or metastatic breast cancer with disease progression following endocrine therapy and prior chemotherapy in the metastatic setting.","Verzenio may cause serious side effects, including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, severe or ongoing diarrhea, pain or burning when you urinate, right-sided upper stomach pain, loss of appetite, easy bruising, unusual bleeding, tiredness, fever, chills, tiredness, mouth sores, skin sores, pale skin, cold hands and feet, lightheadedness, shortness of breath, new or worsening cough, painful breathing, wheezing, pain or swelling in an arm or leg, chest pain, and fast heartbeats Common side effects of Verzenio include : diarrhea, low white blood cell count (neutropenia, leukopenia), nausea, abdominal pain, infections, fatigue, anemia, decreased appetite, vomiting, headache, low blood platelet count (thrombocytopenia), sores and inflammation inside the mouth, swelling of extremities, fever, cough, hair loss, itching, rash, changes in taste, dizziness, alanine aminotransferase increased, aspartate aminotransferase increased, and weight loss. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors.",https://www.rxlist.com/verzenio-drug.htm
Abilify (Aripiprazole),aripiprazole,"Antipsychotics, Second Generation, Antimanic Agents","tablet, orally disintegrating tablets, oral solution and injectable formulations","Abilify (aripiprazole) is a psychotropic drug (antipsychotic) that alters brain chemical activity used to treat: schizophrenia, mania, depression, bipolar disorders, autistic disorder, and some irritable behavior disorders. Generic Abilify is not available in the U.S., but is available in other countries under the name aripiprazole.","Abilify may cause serious side effects including: severe agitation or distress, feeling restless, twitching or uncontrollable movements of your eyes, lips, tongue, face, arms or legs, mask-like appearance of the face, trouble swallowing, speech problems, seizure (convulsions), thoughts of suicide or self-harm, stiff or rigid muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors (shaking), feeling lightheaded, chills, sore throat, mouth sores, skin sores, cough, difficulty breathing, increased thirst, increased urination, dry mouth, and fruity breath odor Get medical help right away, if you have any of the symptoms listed above. Common side effects of Abilify include: dizziness lightheadedness drowsiness weakness lightheadedness nausea vomiting stomach upset tiredness excess saliva or drooling choking or trouble swallowing blurred vision headache anxiety weight gain drowsiness sleep problems (insomnia) constipation Suicidal thoughts are may occur in some patients, especially children, teens, and young adults. Tell your doctor if this occurs. Other serious side effects of Abilify include:",https://www.rxlist.com/abilify-drug.htm
Abilify Asimtufii (Aripiprazole for Extended-release Injectable Suspension),aripiprazole for extended-release injectable suspension,"Antipsychotics, Second Generation, Antimanic Agents",The recommended dosage of Abilify Asimtufii is 960 mg administered once every 2 months as a single injection. The dose can be reduced to 720 mg in patients with adverse reactions.,Abilify Asimtufii (aripiprazole) is an atypical antipsychotic indicated for the treatment of schizophrenia in adults and as maintenance monotherapy treatment of bipolar I disorder in adults.,"Side effects of Abilify Asimtufii include: weight gain, restlessness/inability to sit still, injection site pain, sedation, constipation, dry mouth, diarrhea, vomiting, abdominal discomfort, upper respiratory tract infection, joint pain, back pain, muscle aches, musculoskeletal pain, dizziness, tremor, and nasal congestion. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors. This document does not contain all possible side effects and others may occur. Check with your physician for additional information about side effects.",https://www.rxlist.com/abilify-asimtufii-drug.htm
Abilify Maintena (Aripiprazole Extended-Release Injectable Suspension),aripiprazole extended-release injectable suspension,"Antipsychotics, Second Generation, Antimanic Agents",Ability Maintena is administered under doctor's supervision via intramuscular injection. The recommended dose is 400 mg given monthly as a single injection. Dosage adjustments are required for missed,Abilify Maintena (aripiprazole) is an antipsychotic drug used for the treatment of schizophrenia.,"The most common side effect of Abilify Maintena is a movement disorder characterized by a feeling of inner restlessness and a compelling need to be in constant motion (akathisia). Other side effects of Abilify Maintena include: dizziness, lightheadedness, drowsiness, tiredness, blurred vision, weight gain, shaking (tremors), and redness/pain/swelling at the injection site. Tell your doctor if you have serious side effects of Abilify Maintena including: fainting, trouble swallowing, restlessness (especially in the legs), seizures, or signs of infection (such as fever, persistent sore throat). Abilify Maintena may cause serious side effects including: fainting, trouble swallowing, restlessness (especially in the legs), seizures, fever, persistent sore throat, high blood sugar, increased thirst, increased urination, uncontrolled movements (face, mouth, tongue, arms or legs), muscle stiffness, pain, tenderness or weakness, severe tiredness, severe confusion, sweating, fast or irregular heartbeat, dark urine, change in the amount of urine, rash, itching, swelling of the face, tongue or throat, severe dizziness, and trouble breathing Get medical help right away, if you have any of the symptoms listed above. Abilify Maintena may infrequently make your blood sugar level rise, which can cause or worsen diabetes. Tell your doctor if you develop symptoms of high blood sugar, such as increased thirst and urination. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors. This document does not contain all possible side effects and others may occur. Check with your physician for additional information about side effects. Dosage for Abilify Maintena Ability Maintena is administered under doctor's supervision via intramuscular injection. The recommended dose is 400 mg given monthly as a single injection. Dosage adjustments are required for missed doses. What Drugs, Substances, or Supplements Interact with Abilify Maintena? Abilify Maintena may react with anticonvulsant medications that contain carbamazepine, antifungal mediations that contain ketoconazole, quinidine, CNS depressants, or high blood pressure medications. Abilify Maintena During Pregnancy and Breastfeeding Abilify Maintena has not been studied in pregnant women. Abilify Maintena is excreted in breast milk. Nursing mothers should consult their doctors before breastfeeding. Additional Information Our Abilify Maintena (aripiprazole) Side Effects Drug Center provides a comprehensive view of available drug information on the potential side effects when taking this medication.",https://www.rxlist.com/abilify-maintena-drug.htm
Abilify MyCite (Aripiprazole Tablets with Sensor),aripiprazole tablets with sensor,"Antipsychotics, Second Generation, Antimanic Agents",The recommended dose of Abilify MyCite depends on the condition being treated and ranges from 5 to 15 mg/day.,"Abilify MyCite (aripiprazole tablets with sensor) a drug-device combination product comprised of aripiprazole tablets embedded with an Ingestible Event Marker (IEM) sensor intended to track drug ingestion, is indicated for the treatment of adults with schizophrenia; treatment of bipolar I disorder: acute treatment of adults with manic and mixed episodes as monotherapy and as adjunct to lithium or valproate and maintenance treatment of adults as monotherapy and as adjunct to lithium or valproate; and as adjunctive treatment of adults with major depressive disorder (MDD).","Abilify MyCite may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, fainting, mental or mood changes, anxiety, depression, thoughts of self-harm, trouble swallowing, restlessness (especially in the legs), shaking, muscle spasm, mask-like expression of the face, seizures, trouble controlling certain urges (gambling, sex, eating, or shopping), interrupted breathing during sleep, increased thirst or urination, uncontrolled movements (especially of the face, mouth, tongue, arms, or legs), fever, muscle stiffness, pain, tenderness, or weakness, severe tiredness, severe confusion, sweating, fast or irregular heartbeat, dark urine, change in the amount of urine, swollen lymph nodes, rash, itching, and severe dizziness Get medical help right away, if you have any of the symptoms listed above. Common side effects of Abilify MyCite include: restlessness, sedation, tremors, extrapyramidal disorder (muscle spasms, slowness of movement, and irregular/jerky movements), insomnia, constipation, fatigue, and blurred vision. Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/abilify-mycite-drug.htm
Abiraterone Acetate Tablets (Zytiga),abiraterone acetate tablets,"Antineoplastics, Antiandrogen, Antiandrogens",Zytiga is prescribed in 250 mg dosage tablets. It is important that Zytiga be taken on an empty stomach. No food should be consumed for at least two hours before the dose of Zytiga is taken and for at,"Zytiga (abiraterone acetate) is is an inhibitor of CYP17 (17a-hydroxylase/C17,20-lyase) given in combination with prednisone and indicated for the treatment of patients with metastatic castration-resistant prostate cancer.",Common side effects of Zytiga include: joint swelling or pain diarrhea cough sweating hot flashes weakness swelling in your legs or feet vomiting high blood pressure shortness of breath urinary tract infection bruising anemia low blood potassium high blood sugar levels high blood cholesterol and triglycerides,https://www.rxlist.com/zytiga-drug.htm
Abiraterone Acetate Tablets (Yonsa),abiraterone acetate tablets,"Antineoplastics, Antiandrogen, Antiandrogens",The recommended dose of Yonsa is 500 mg (four 125 mg tablets) administered orally once daily in combination with methylprednisolone 4 mg administered orally twice daily.,Yonsa (abiraterone acetate) is a CYP17 inhibitor indicated in combination with methylprednisolone for the treatment of patients with metastatic castration-resistant prostate cancer (CRPC).,"Common side effects of Yonsa include: fatigue, joint swelling or discomfort, edema, hot flush, diarrhea, vomiting, cough, high blood pressure (hypertension), shortness of breath, urinary tract infection (UTI), and bruising",https://www.rxlist.com/yonsa-drug.htm
Ablavar (Gadofosveset Trisodium Injection),gadofosveset trisodium injection,Gadolinium-Containing Contrast Agents,"Ablavar is given as an intravenous bolus injection, manually or by power injection, at a dose of 0.12 mL/kg body weight (0.03 mmol/kg) over a period of time up to 30 seconds followed by a 25-30 mL nor","Ablavar (gadofosveset trisodium) Injection is a contrast agent used in combination with magnetic resonance angiography (MRA) to allow blood vessels, organs, and other non-bony tissues to be seen more clearly on the MRA. Ablavar is used to help diagnose certain disorders of the heart and blood vessels.","Ablavar may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, urinating less than usual or not at all, drowsiness, confusion, mood changes, increased thirst, loss of appetite, swelling, weight gain, shortness or breath, and fast or uneven heart rate Get medical help right away, if you have any of the symptoms listed above. Common side effects of Ablavar include: itching headache dizziness nausea unusual or unpleasant taste in your mouth flushing (warmth, redness, burning, or tingly feeling under your skin) injection site reactions (cold feeling, warmth, pain, bruising, redness, or burning) numbness or tingling in your hands or feet Tell your doctor if you have serious side effects of Ablavar including:",https://www.rxlist.com/ablavar-drug.htm
Ablysinol (Dehydrated Alcohol),dehydrated alcohol,,"In most situations, a dose of 1 mL to 2 mL Ablysinol is sufficient. The maximum dose of Ablysinol that should be used in a single procedure is 5 mL.",Ablysinol (dehydrated alcohol) is an ablative agent used to induce controlled cardiac septal infarction to improve exercise capacity in adults with symptomatic hypertrophic obstructive cardiomyopathy who are not candidates for surgical myectomy.,"Common side effects of Ablysinol include: arrhythmias, including ventricular tachycardia and/or ventricular fibrillation",https://www.rxlist.com/ablysinol-drug.htm
Abobotulinumtoxin A Injection (Dysport),abobotulinumtoxin a injection,"Neuromuscular Blockers, Depolarizing, Botulinum Toxins",The recommended initial dose of Dysport for the treatment of cervical dystonia is 500 Units given intramuscularly as a divided dose among affected muscles. The dose of Dysport for the treatment of gla,"Dysport for Injection (abobotulinumtoxinA), also called botulinum toxin type A, is made from the bacteria that causes botulism and is used to treat cervical dystonia (severe spasms in the neck muscles). Dysport is also used to temporarily lessen the appearance of facial wrinkles.","Dysport may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, trouble breathing, talking or swallowing, hoarse voice, drooping eyelids, problems with vision, unusual or severe muscle weakness, loss of bladder control, pain or burning when you urinate, red or pink urine, crusting or drainage from your eyes, severe skin rash, itching, fast, slow, or uneven heartbeats, chest pain or heavy feeling, pain spreading to the arm or shoulder, and general ill feeling Get medical help right away, if you have any of the symptoms listed above. Common side effects of Dysport include: muscle weakness near where the medicine was injected injection site reactions (bruising, bleeding, pain, redness, or swelling) headache muscle pain or stiffness neck or back pain fever cough sore throat runny nose flu symptoms dizziness drowsiness tired feeling nausea diarrhea stomach pain loss of appetite dry mouth dry eyes ringing in your ears increased sweating in areas other than the underarms itchy or watery eyes increased sensitivity to light eyelid swelling or bruising The botulinum toxin contained in Dysport can spread to other body areas beyond where it was injected which can cause serious and life-threatening side effects in some people, some of which can occur up to several weeks after an injection, including:",https://www.rxlist.com/dysport-drug.htm
